trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
526,False,"{'a': 0.9948315469697114, 'e': 0.005059555431440368}",25,17,14.590258627059612,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
527,False,"{'a': 0.9948827107699584, 'e': 0.005008959877125964}",20,16,6.755714590038504,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
528,False,"{'a': 0.9949333706665338, 'e': 0.0049588702783547045}",25,15,19.852800125738927,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
529,False,"{'a': 0.9949835315714759, 'e': 0.004909281575571157}",25,10,33.75406319559569,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
530,False,"{'a': 0.995033198349943, 'e': 0.0048601887598154455}",25,18,13.313397616645673,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
531,False,"{'a': 0.9950823758206397, 'e': 0.004811586872217291}",20,6,29.621814944487355,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
532,False,"{'a': 0.9951310687562414, 'e': 0.004763471003495118}",30,16,30.296317532470578,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
533,False,"{'a': 0.9951792818838151, 'e': 0.004715836293460167}",25,11,26.029685623036368,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
534,False,"{'a': 0.9952270198852368, 'e': 0.004668677930525565}",25,20,9.393867494462947,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
535,False,"{'a': 0.9952742873976046, 'e': 0.0046219911512203095}",25,18,1.6574964956537301,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
536,False,"{'a': 0.9953210890136492, 'e': 0.004575771239708106}",20,11,13.731124289156229,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
537,False,"{'a': 0.9953674292821418, 'e': 0.004530013527311025}",20,13,13.02112671052011,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
538,False,"{'a': 0.9954133127082959, 'e': 0.004484713392037915}",30,13,33.76722738694032,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
539,False,"{'a': 0.9954587437541691, 'e': 0.004439866258117536}",25,14,18.985207579874224,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
540,False,"{'a': 0.9955037268390589, 'e': 0.004395467595536361}",25,0,42.23046423614033,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
541,False,"{'a': 0.9955482663398965, 'e': 0.0043515129195809965}",25,15,19.53142964905344,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
542,False,"{'a': 0.9955923665916371, 'e': 0.004307997790385187}",30,18,23.25060494385164,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
543,False,"{'a': 0.9956360318876475, 'e': 0.004264917812481335}",20,14,13.91571295885866,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
544,False,"{'a': 0.9956792664800881, 'e': 0.004222268634356522}",25,8,27.449375141011643,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
545,False,"{'a': 0.9957220745802952, 'e': 0.004180045948012957}",25,11,25.150835542520884,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
546,False,"{'a': 0.9957644603591566, 'e': 0.004138245488532827}",25,19,11.48619471937049,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
547,False,"{'a': 0.9958064279474874, 'e': 0.004096863033647498}",20,7,24.944524086960183,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
548,False,"{'a': 0.9958479814363993, 'e': 0.0040558944033110235}",30,18,23.846698260280565,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
549,False,"{'a': 0.9958891248776695, 'e': 0.004015335459277913}",20,6,20.73138878402231,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
550,False,"{'a': 0.995929862284104, 'e': 0.003975182104685134}",25,19,11.420467692912947,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
551,False,"{'a': 0.9959701976299002, 'e': 0.003935430283638282}",35,20,33.96035166870143,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
552,False,"{'a': 0.996010134851006, 'e': 0.0038960759808018995}",30,18,25.546597004592144,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
553,False,"{'a': 0.9960496778454722, 'e': 0.0038571152209938807}",25,13,24.952658028844947,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
554,False,"{'a': 0.9960888304738083, 'e': 0.0038185440687839418}",25,10,30.234309044314287,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
555,False,"{'a': 0.9961275965593289, 'e': 0.003780358628096102}",20,6,27.594915646223043,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
556,False,"{'a': 0.9961659798885026, 'e': 0.0037425550418151415}",25,17,14.844168508513517,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
557,False,"{'a': 0.9962039842112926, 'e': 0.0037051294913969897}",20,15,11.053775855985336,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
558,False,"{'a': 0.9962416132414993, 'e': 0.00366807819648302}",20,3,25.951738308820282,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
559,False,"{'a': 0.9962788706570957, 'e': 0.0036313974145181895}",20,12,15.864657072704144,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
560,False,"{'a': 0.9963157601005641, 'e': 0.003595083440373008}",20,10,20.419230119708963,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
561,False,"{'a': 0.996352285179225, 'e': 0.003559132605969278}",30,18,19.923343400444036,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
562,False,"{'a': 0.9963884494655685, 'e': 0.003523541279909585}",25,13,23.546242974381606,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
563,False,"{'a': 0.9964242564975777, 'e': 0.003488305867110489}",20,16,8.156445928552046,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
564,False,"{'a': 0.9964597097790535, 'e': 0.003453422808439384}",25,9,31.499029777957436,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
565,False,"{'a': 0.9964948127799336, 'e': 0.0034188885803549903}",25,14,22.83236459062848,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
566,False,"{'a': 0.9965295689366106, 'e': 0.0033846996945514404}",30,14,30.01690168276612,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
567,False,"{'a': 0.9965639816522461, 'e': 0.003350852697605926}",20,15,8.816890561513322,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
568,False,"{'a': 0.9965980542970827, 'e': 0.0033173441706298664}",20,12,12.454751532191258,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
569,False,"{'a': 0.9966317902087531, 'e': 0.0032841707289235677}",25,15,18.7908253805446,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
570,False,"{'a': 0.9966651926925867, 'e': 0.003251329021634332}",30,17,25.63200126373944,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
571,False,"{'a': 0.9966982650219125, 'e': 0.0032188157314179885}",25,19,12.00800022354814,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
572,False,"{'a': 0.9967310104383614, 'e': 0.003186627574103809}",30,20,17.282632810645033,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
573,False,"{'a': 0.9967634321521631, 'e': 0.0031547612983627705}",20,12,16.700636195854287,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
574,False,"{'a': 0.996795533342443, 'e': 0.003123213685379143}",20,16,9.586978187003544,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
575,False,"{'a': 0.9968273171575148, 'e': 0.0030919815485253516}",25,13,23.201757843679996,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
576,False,"{'a': 0.9968587867151706, 'e': 0.003061061733040098}",20,15,10.494756533043102,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
