trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-135.20270506342746,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",25,0,-174.57813492554183,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-183.19790466626023,"{0: 9, 1: 2, 2: 11, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,-151.6903012281996,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-83.96642602822702,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",25,0,-66.39662148196722,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-100.22552355820555,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",30,0,-239.6612158984413,"{0: 15, 1: 3, 2: 8, 3: 0, 4: 4}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-114.61899328010409,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",25,0,-42.20142112841774,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",30,0,-166.4834512634579,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",30,0,-180.03565392257087,"{0: 16, 1: 1, 2: 9, 3: 3, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",35,0,-116.71902407301671,"{0: 26, 1: 2, 2: 4, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",25,0,-99.80985574337325,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",30,0,-120.87717614956426,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",25,17,-11.888075260158676,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-130.48556336237215,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",35,0,-200.12235653287217,"{0: 19, 1: 6, 2: 5, 3: 3, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",30,2,-65.82082737563518,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",25,0,-296.5863651800941,"{0: 9, 1: 2, 2: 9, 3: 0, 4: 5}",0
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",25,12,-83.50858461699961,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",20,0,-24.00862999108222,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-51.82348251976105,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",25,0,-48.07170233202567,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
