trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",30,9,-2.184371698313252,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-28.581108831468864,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",25,0,-32.94208990515896,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",30,6,-134.50169962982014,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 3}",1
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",25,9,-53.371666577783834,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,0,-40.03324079797458,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",25,0,-27.123370538098833,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",20,3,11.372428304931438,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",20,16,9.160663114214056,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,0,-20.76945561696274,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",25,0,22.787507419494897,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-59.65414400282811,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",25,0,-38.52640996123377,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,0,24.07387028604081,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",20,0,-49.696415753606544,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",30,7,-27.747012986915774,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",30,7,-64.56775088843567,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",20,0,-147.1813494019365,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",25,0,-32.08910793352902,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",25,0,-47.33054958594953,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",25,0,15.418592545031016,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",30,11,-141.57237011833578,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 3}",1
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",20,0,-68.64393458505583,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",30,19,-3.661111451028851,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",25,2,-12.753003764422278,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 0}",1
